timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
2160,0.00,1.40,-0.71,-1.59,18.25,-42.05
2180,0.17,1.30,0.11,-7.26,-7.63,-15.08
2200,0.26,1.00,-0.13,7.20,3.54,3.23
2220,0.33,0.83,-0.25,5.49,6.71,-1.83
2240,0.49,0.58,-0.24,-2.69,15.75,-21.97
2260,-0.03,1.19,-0.29,-6.35,26.86,-44.07
2280,-0.03,1.38,0.15,-4.27,-2.99,-18.07
2300,0.28,0.90,-0.24,3.42,0.31,6.47
2320,0.24,0.99,-0.15,0.85,0.67,0.00
2340,0.25,0.96,-0.17,2.14,1.95,1.28
2360,0.25,0.96,-0.18,1.28,0.98,-3.30
2380,0.27,0.94,-0.19,0.85,2.87,-5.92
2400,0.24,0.95,-0.20,-0.43,6.23,-10.93
2420,0.16,1.05,-0.11,-2.32,1.89,-6.16
2440,0.22,0.99,-0.17,-2.14,-0.85,0.98
2460,0.24,0.97,-0.17,-2.75,-1.59,0.92
2480,0.24,0.97,-0.17,-1.46,-0.06,-1.04
2500,0.22,0.98,-0.16,-0.85,0.49,-1.71
2520,0.21,0.99,-0.16,-1.46,0.55,-1.34
2540,0.22,0.98,-0.18,-3.72,-0.37,-0.06
2560,0.22,0.99,-0.15,-5.31,-1.34,0.73
2580,0.23,0.98,-0.16,-4.52,-1.22,1.40
2600,0.24,0.97,-0.16,-3.42,0.06,0.18
2620,0.23,0.99,-0.14,-2.38,0.43,-0.73
2640,0.19,1.01,-0.15,-0.85,1.16,0.00
2660,0.22,1.00,-0.14,-1.16,-1.22,2.44
2680,0.23,0.99,-0.15,-2.14,-1.71,4.64
2700,0.21,1.00,-0.17,-2.87,-1.65,5.00
2720,0.21,1.01,-0.15,-3.97,-3.30,6.71
2740,0.23,1.00,-0.17,-4.82,-5.68,10.80
2760,0.21,1.04,-0.18,-5.74,-5.37,12.39
2780,0.25,1.03,-0.16,-5.31,-7.81,16.05
2800,0.26,1.00,-0.20,-5.49,-7.08,18.37
2820,0.27,1.00,-0.20,-7.39,-8.30,18.62
2840,0.27,0.98,-0.15,-9.40,-8.73,19.84
2860,0.28,0.98,-0.12,-10.80,-8.00,20.45
2880,0.31,0.94,-0.11,-10.50,-6.84,20.32
2900,0.32,0.92,-0.11,-10.38,-5.74,18.13
2920,0.32,0.94,-0.10,-9.83,-5.31,15.14
2940,0.33,0.93,-0.11,-9.52,-4.39,13.55
2960,0.33,0.94,-0.10,-9.22,-3.85,11.84
2980,0.33,0.97,-0.11,-8.97,-3.42,11.84
3000,0.34,0.96,-0.08,-8.00,-2.81,12.33
3020,0.35,0.95,-0.06,-5.92,-1.65,11.72
3040,0.36,0.94,-0.05,-3.36,0.24,10.19
3060,0.33,0.99,-0.11,-1.59,2.26,8.06
3080,0.31,1.06,-0.15,-2.44,0.55,10.19
3100,0.31,1.11,-0.16,-6.16,-1.77,16.91
3120,0.35,1.00,-0.15,-11.05,-3.91,25.82
3140,0.38,0.92,-0.10,-13.06,-5.25,27.16
3160,0.39,0.92,-0.03,-12.08,-4.88,25.76
3180,0.34,1.08,-0.03,-7.26,-2.50,26.98
3200,0.36,1.12,-0.09,-5.19,-2.38,33.94
3220,0.37,1.06,-0.07,-5.13,-2.08,40.89
3240,0.44,0.87,-0.09,-7.63,0.24,47.67
3260,0.47,0.76,-0.08,-6.90,0.92,46.08
3280,0.49,0.77,-0.04,-6.65,-0.79,39.31
3300,0.56,0.76,0.01,-1.53,-1.65,31.68
3320,0.54,0.80,-0.01,1.95,1.10,23.74
3340,0.53,0.84,-0.04,3.91,1.89,19.90
3360,0.52,0.86,-0.08,2.81,3.97,15.99
3380,0.55,0.81,-0.10,1.59,3.05,14.04
3400,0.58,0.76,-0.07,1.28,3.30,10.13
3420,0.67,0.53,-0.01,4.52,4.58,-6.10
3440,0.78,-0.23,0.02,10.07,8.48,-37.66
3460,0.34,0.84,-0.39,0.43,19.84,-75.74
3480,0.25,1.53,-0.20,0.43,-0.67,-60.18
3500,0.36,1.33,0.09,0.92,-9.52,-23.86
3520,0.40,1.06,-0.10,2.01,4.88,-7.45
3540,0.51,0.65,-0.17,0.61,8.12,-5.07
3560,0.45,0.75,-0.47,-24.17,10.44,-26.55
3580,0.33,1.18,-0.16,-32.65,-8.18,-35.64
3600,0.39,1.17,0.30,-25.70,-25.02,-18.98
3620,0.49,0.90,0.21,0.18,-6.71,-8.18
3640,0.49,0.72,0.02,12.08,7.32,-15.14
3660,0.36,0.88,-0.27,13.12,12.57,-21.36
3680,0.44,0.93,-0.31,-15.14,-0.55,-15.93
3700,0.34,1.12,-0.04,-21.79,-5.13,-18.74
