timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
2140,0.16,1.01,-0.11,1.16,1.83,-5.86
2160,0.18,1.00,-0.11,1.65,3.11,-3.30
2180,0.17,1.00,-0.12,1.89,4.46,-3.78
2200,0.17,1.00,-0.12,2.08,4.09,-3.23
2220,0.16,1.00,-0.12,1.40,6.35,-3.17
2240,0.14,1.01,-0.12,0.73,4.39,-2.14
2260,0.16,1.00,-0.13,-0.06,0.73,0.00
2280,0.17,1.00,-0.13,-0.43,1.34,0.18
2300,0.17,0.99,-0.14,-0.24,1.89,-0.12
2320,0.16,1.00,-0.13,-1.71,1.95,-0.79
2340,0.16,1.00,-0.13,-3.23,1.04,-0.37
2360,0.15,1.00,-0.13,-4.21,-0.24,0.73
2380,0.16,1.00,-0.12,-5.74,-2.44,1.89
2400,0.16,1.00,-0.12,-6.84,-2.44,2.38
2420,0.15,1.00,-0.11,-8.67,-2.75,2.99
2440,0.16,1.01,-0.11,-9.77,-3.97,4.88
2460,0.17,1.00,-0.10,-9.83,-3.54,7.57
2480,0.18,1.01,-0.10,-8.73,-2.93,9.22
2500,0.17,1.01,-0.09,-7.14,-1.71,10.93
2520,0.19,1.01,-0.10,-5.80,-1.04,14.53
2540,0.18,1.05,-0.14,-5.49,-3.05,18.86
2560,0.19,1.07,-0.15,-7.45,-5.07,23.01
2580,0.20,1.07,-0.18,-10.31,-4.82,26.43
2600,0.19,1.12,-0.16,-19.23,-3.91,30.58
2620,0.18,1.14,-0.17,-25.57,-2.50,36.07
2640,0.20,1.13,-0.12,-30.46,-5.25,43.21
2660,0.24,1.06,-0.08,-35.10,-6.47,51.45
2680,0.29,0.95,-0.06,-36.74,-6.23,54.75
2700,0.31,0.93,-0.02,-38.02,-5.13,55.85
2720,0.36,0.89,0.03,-36.01,-4.76,54.02
2740,0.38,0.88,0.05,-33.26,-3.17,50.60
2760,0.41,0.86,0.08,-28.50,-3.97,46.94
2780,0.45,0.81,0.10,-19.71,-2.56,38.51
2800,0.48,0.83,0.13,-13.92,-2.38,31.56
2820,0.48,0.81,0.13,-8.12,-2.44,25.33
2840,0.46,0.80,0.12,-0.73,-2.50,16.66
2860,0.47,0.85,0.08,1.89,-0.67,10.74
2880,0.48,0.85,0.04,3.17,0.37,7.20
2900,0.48,0.85,0.00,2.69,1.22,1.46
2920,0.49,0.81,0.02,2.62,1.16,-3.17
2940,0.47,0.83,0.05,2.87,2.08,-9.16
2960,0.47,0.87,0.09,4.70,2.32,-15.69
2980,0.48,0.83,0.12,10.68,3.05,-19.41
3000,0.47,0.79,0.10,16.11,5.98,-25.45
3020,0.42,0.87,0.03,20.08,7.14,-31.74
3040,0.39,0.94,-0.03,23.01,3.42,-34.00
3060,0.39,0.95,-0.03,22.03,2.01,-33.57
3080,0.38,0.92,0.01,22.71,1.16,-34.55
3100,0.35,0.96,0.04,26.37,5.07,-37.17
3120,0.32,0.97,-0.01,30.52,6.29,-35.64
3140,0.33,0.94,-0.08,30.82,8.67,-32.23
3160,0.31,0.97,-0.13,22.83,9.70,-33.33
3180,0.32,0.92,-0.11,17.88,10.56,-33.75
3200,0.24,1.04,-0.09,16.54,10.74,-34.61
3220,0.27,0.99,-0.08,16.78,7.69,-28.63
3240,0.29,0.97,-0.10,15.20,11.41,-30.21
3260,0.31,0.98,-0.15,11.96,14.89,-33.51
3280,0.23,1.05,-0.18,10.19,21.61,-36.25
3300,0.11,1.21,-0.29,13.37,19.59,-27.28
3320,0.23,1.02,-0.22,11.84,7.75,-17.33
3340,0.25,1.00,-0.18,3.91,9.83,-17.88
3360,0.18,1.04,-0.09,1.89,10.93,-17.94
3380,0.14,1.04,-0.08,3.05,9.09,-14.89
3400,0.16,1.00,-0.16,2.20,4.33,-7.32
3420,0.21,0.98,-0.15,-7.39,-1.77,-6.41
3440,0.20,1.00,-0.12,-6.35,-1.40,-7.14
3460,0.20,0.99,-0.12,-2.99,-0.31,-6.29
3480,0.19,0.99,-0.12,-0.55,1.46,-6.96
3500,0.18,0.99,-0.13,-0.67,2.26,-7.20
3520,0.16,1.01,-0.13,-1.53,1.40,-6.23
3540,0.19,0.99,-0.14,-4.09,-1.40,-3.11
3560,0.19,0.99,-0.13,-3.85,-1.34,-3.05
3580,0.19,1.00,-0.12,-3.36,-0.61,-3.60
3600,0.19,0.99,-0.13,-2.01,0.61,-4.21
3620,0.18,0.99,-0.13,-1.89,0.85,-5.19
3640,0.18,0.99,-0.13,-2.14,0.92,-5.31
3660,0.16,1.00,-0.12,-2.32,-0.31,-4.39
3680,0.18,1.00,-0.13,-1.83,-0.61,-2.50
3700,0.18,1.00,-0.12,-1.83,0.00,-2.26
3720,0.18,1.00,-0.12,-1.22,1.16,-1.71
3740,0.18,1.00,-0.12,-0.85,0.98,-1.53
3760,0.17,1.00,-0.12,-0.55,1.22,-0.92
3780,0.17,1.00,-0.13,-0.67,0.31,0.06
3800,0.18,0.99,-0.13,-1.53,0.18,0.06
3820,0.17,1.00,-0.12,-2.26,0.06,-0.24
3840,0.18,0.99,-0.13,-2.38,0.00,-0.31
3860,0.17,1.00,-0.12,-2.38,0.00,-0.67
3880,0.17,1.00,-0.12,-2.26,0.06,-0.06
3900,0.17,1.00,-0.12,-2.08,0.12,0.24
3920,0.18,1.00,-0.12,-1.89,0.12,0.61
3940,0.18,1.00,-0.12,-1.95,0.24,0.61
3960,0.18,1.00,-0.12,-1.77,0.79,0.49
3980,0.18,1.00,-0.12,-1.53,0.37,1.10
4000,0.17,1.00,-0.12,-1.65,0.67,1.28
4020,0.18,1.00,-0.12,-2.20,0.00,1.95
4040,0.17,1.00,-0.12,-3.11,0.37,2.01
4060,0.17,1.00,-0.11,-3.30,0.00,2.20
4080,0.17,1.00,-0.11,-3.54,-0.73,3.23
4100,0.17,1.01,-0.10,-3.23,-0.92,6.10
4120,0.18,1.02,-0.09,-2.14,-1.34,9.58
4140,0.19,1.01,-0.11,-0.79,-0.49,13.43
4160,0.18,1.00,-0.13,0.67,-1.28,14.77
4180,0.19,1.02,-0.15,-1.89,-1.40,16.72
4200,0.20,1.03,-0.15,-2.69,-2.75,18.62
4220,0.20,1.06,-0.14,-5.25,-3.36,20.14
4240,0.23,1.06,-0.13,-8.24,-3.72,22.34
4260,0.22,1.05,-0.16,-8.61,-2.87,25.51
4280,0.23,1.04,-0.15,-11.23,-3.78,28.02
4300,0.24,1.04,-0.13,-16.48,-3.97,29.91
4320,0.24,1.04,-0.11,-18.68,-4.21,32.17
4340,0.27,1.01,-0.09,-20.08,-4.70,35.52
4360,0.30,0.97,-0.08,-22.34,-4.15,37.60
4380,0.32,0.95,-0.08,-24.60,-3.05,37.29
4400,0.33,0.95,-0.04,-24.41,-3.05,36.93
4420,0.37,0.91,-0.02,-21.12,-2.99,37.78
4440,0.39,0.87,-0.01,-18.86,-3.60,35.89
4460,0.41,0.87,0.02,-16.30,-2.81,32.47
4480,0.43,0.83,0.03,-11.23,-1.83,24.84
4500,0.45,0.84,0.04,-8.36,-3.97,19.10
4520,0.45,0.83,0.03,-4.46,-2.14,14.40
4540,0.46,0.82,0.02,-0.73,-0.67,5.07
4560,0.46,0.83,0.00,1.59,1.16,0.24
